;date;Coin;Trend
0;18/10/2020;Axie Infinity;0
1;25/10/2020;Axie Infinity;1
2;01/11/2020;Axie Infinity;1
3;08/11/2020;Axie Infinity;1
4;15/11/2020;Axie Infinity;1
5;22/11/2020;Axie Infinity;1
6;29/11/2020;Axie Infinity;1
7;06/12/2020;Axie Infinity;1
8;13/12/2020;Axie Infinity;0
9;20/12/2020;Axie Infinity;1
10;27/12/2020;Axie Infinity;0
11;03/01/2021;Axie Infinity;0
12;10/01/2021;Axie Infinity;0
13;17/01/2021;Axie Infinity;0
14;24/01/2021;Axie Infinity;0
15;31/01/2021;Axie Infinity;1
16;07/02/2021;Axie Infinity;1
17;14/02/2021;Axie Infinity;1
18;21/02/2021;Axie Infinity;1
19;28/02/2021;Axie Infinity;1
20;07/03/2021;Axie Infinity;2
21;14/03/2021;Axie Infinity;2
22;21/03/2021;Axie Infinity;2
23;28/03/2021;Axie Infinity;2
24;04/04/2021;Axie Infinity;2
25;11/04/2021;Axie Infinity;1
26;18/04/2021;Axie Infinity;1
27;25/04/2021;Axie Infinity;2
28;02/05/2021;Axie Infinity;3
29;09/05/2021;Axie Infinity;4
30;16/05/2021;Axie Infinity;5
31;23/05/2021;Axie Infinity;6
32;30/05/2021;Axie Infinity;9
33;06/06/2021;Axie Infinity;10
34;13/06/2021;Axie Infinity;13
35;20/06/2021;Axie Infinity;20
36;27/06/2021;Axie Infinity;45
37;04/07/2021;Axie Infinity;73
38;11/07/2021;Axie Infinity;100
39;18/07/2021;Axie Infinity;77
40;25/07/2021;Axie Infinity;85
41;01/08/2021;Axie Infinity;73
42;08/08/2021;Axie Infinity;75
43;15/08/2021;Axie Infinity;66
44;22/08/2021;Axie Infinity;68
45;29/08/2021;Axie Infinity;57
46;05/09/2021;Axie Infinity;45
47;12/09/2021;Axie Infinity;39
48;19/09/2021;Axie Infinity;39
49;26/09/2021;Axie Infinity;38
50;03/10/2021;Axie Infinity;44
51;10/10/2021;Axie Infinity;40
52;18/10/2020;Illuvium;1
53;25/10/2020;Illuvium;0
54;01/11/2020;Illuvium;0
55;08/11/2020;Illuvium;0
56;15/11/2020;Illuvium;0
57;22/11/2020;Illuvium;0
58;29/11/2020;Illuvium;0
59;06/12/2020;Illuvium;0
60;13/12/2020;Illuvium;0
61;20/12/2020;Illuvium;0
62;27/12/2020;Illuvium;0
63;03/01/2021;Illuvium;1
64;10/01/2021;Illuvium;1
65;17/01/2021;Illuvium;0
66;24/01/2021;Illuvium;0
67;31/01/2021;Illuvium;0
68;07/02/2021;Illuvium;0
69;14/02/2021;Illuvium;4
70;21/02/2021;Illuvium;0
71;28/02/2021;Illuvium;2
72;07/03/2021;Illuvium;2
73;14/03/2021;Illuvium;7
74;21/03/2021;Illuvium;7
75;28/03/2021;Illuvium;10
76;04/04/2021;Illuvium;5
77;11/04/2021;Illuvium;4
78;18/04/2021;Illuvium;4
79;25/04/2021;Illuvium;3
80;02/05/2021;Illuvium;1
81;09/05/2021;Illuvium;0
82;16/05/2021;Illuvium;1
83;23/05/2021;Illuvium;6
84;30/05/2021;Illuvium;0
85;06/06/2021;Illuvium;3
86;13/06/2021;Illuvium;0
87;20/06/2021;Illuvium;1
88;27/06/2021;Illuvium;2
89;04/07/2021;Illuvium;5
90;11/07/2021;Illuvium;10
91;18/07/2021;Illuvium;17
92;25/07/2021;Illuvium;54
93;01/08/2021;Illuvium;41
94;08/08/2021;Illuvium;58
